BLA-Insc-1_C01,BLA-Insc-1_C02,BLA-Insc-1_C03,BLA-Insc-1_C04,BLA-Insc-1_C05,BLA-Insc-1_C06,BLA-Insc-1_C07,BLA-Insc-1_C08,BLA-Insc-1_C09,BLA-Insc-1_C10,BLA-Insc-1_C11,BLA-Insc-1_C12,BLA-Insc-1_C13,BLA-Insc-1_C14,BLA-Insc-1_C15,BLA-Insc-1_C16,BLA-Insc-1_C17,BLA-Insc-1_C18,BLA-Insc-1_C19,BLA-Insc-1_C20,BLA-Insc-1_C21,BLA-Insc-1_C22,BLA-Insc-1_C23,BLA-Insc-1_C24,BLA-Insc-1_C25,BLA-Insc-1_C26,BLA-Insc-1_C27,BLA-Insc-1_C28,BLA-Insc-1_C29,BLA-Insc-1_C30,BLA-Insc-1_C31,BLA-Insc-1_C32,BLA-Insc-1_C33,BLA-Insc-1_C34,BLA-Insc-1_C35,BLA-Insc-3_C01,BLA-Insc-3_C02,BLA-Insc-3_C03,BLA-Insc-3_C04,BLA-Insc-3_C05,BLA-Insc-3_C06,BLA-Insc-3_C07,BLA-Insc-3_C08,BLA-Insc-3_C09,BLA-Insc-3_C10,BLA-Insc-3_C11,BLA-Insc-3_C12,BLA-Insc-5_C01,BLA-Insc-5_C02,BLA-Insc-5_C03,BLA-Insc-5_C04,BLA-Insc-5_C05,BLA-Insc-5_C06,BLA-Insc-6_C01,BLA-Insc-6_C02,BLA-Insc-6_C03,BLA-Insc-6_C04,BLA-Insc-6_C05,BLA-Insc-6_C06,BLA-Insc-6_C07,BLA-Insc-6_C08,BLA-Insc-6_C09,BLA-Insc-6_C10,BLA-Insc-6_C11,BLA-Insc-6_C12,BLA-Insc-6_C13,BLA-Insc-7_C01,BLA-Insc-7_C02,BLA-Insc-7_C03,BLA-Insc-7_C04,BLA-Insc-11_C01,BLA-Insc-11_C02,BLA-Insc-11_C03,BLA-Insc-11_C04,BLA-Insc-11_C05,BLA-Insc-11_C06,BLA-Insc-13_C01,BLA-Insc-13_C02,BLA-Insc-13_C03,BLA-Insc-13_C04,BLA-Insc-13_C05,BLA-Insc-13_C06,BLA-Insc-13_C07,BLA-Insc-13_C08,BLA-Insc-13_C09,BLA-Insc-8_C01,BLA-Insc-8_C02,BLA-Insc-8_C03,BLA-Insc-8_C04,BLA-Insc-8_C05,BLA-Insc-8_C06,BLA-Insc-8_C07,BLA-Insc-8_C08,BLA-Insc-8_C09,BLA-Insc-8_C10,BLA-Insc-8_C11,BLA-Insc-8_C12,BLA-Insc-8_C13,BLA-Insc-9_C01,BLA-Insc-9_C02,BLA-Insc-9_C03,BLA-Insc-9_C04,BLA-Insc-9_C05,BLA-Insc-9_C06,BLA-Insc-9_C07,BLA-Insc-9_C08
1.7075158499999998,1.7486194,0.3621596025,13.923572750000002,1.08293698125,1.74728985,-0.1131917124999999,1.3201587,0.2001297499999999,13.0055345,12.904800562499998,5.384828975,8.081488362500002,5.973908162499999,0.5888129,0.7491555500000001,-0.2553170337499999,5.247305175,0.4358449499999999,0.1975655625,1.0736866875,6.5682060625,18.676839737500003,12.5395665125,2.6493805375,0.2998751875,2.4015196875,32.354573375,9.77498405,2.5982396125000005,15.042798425,69.0789435625,9.817829075,20.32530175,4.4259036625,-1.0951186,-0.29033765,0.5217345333333333,-0.0106709116666666,2.405327833333333,-0.8475639166666666,-0.4230690000000001,-0.0691602666666666,-0.4566069816666667,9.852021166666663,1.4363057166666666,3.0605999166666664,1.1309003,4.1910908,2.8460308,2.0817914,4.913644199999999,0.0770255599999999,-3.3215508727272725,2.303733463636364,2.0641136363636363,3.365872427272727,6.805208181818181,2.8730393363636364,-13.138844545454548,2.140414136363636,10.316424063636363,5.373176454545456,4.451593818181819,6.038485363636363,13.499403090909093,6.55009688235294,-0.0641083464705882,0.6827591470588235,2.5672400823529413,0.5902672222222222,1.1965818522222222,0.8015556444444444,1.1937609666666669,1.7971506744444443,2.7733161777777777,-0.998674165,1.7667820590909094,2.872190881818182,12.739591681818178,1.3474205222727271,1.3195346554545453,-0.4037426553636363,-0.5207011318181819,14.708408877272728,4.702962449999999,12.950953666666669,0.2930268499999999,4.79736,0.1799355233333333,5.0466956666666665,0.5749037166666667,-0.0740106666666665,7.1862137,5.4764285,3.848753833333333,27.749416666666665,1.1157035,-0.9134014499999998,-0.102454925,-0.0419402,-0.6126062,0.24069975,4.57041175,0.4461926825,1.018029925
2.0983968,1.21943391125,0.41830455,12.450158875,1.6860125875,1.6023929625,0.3512128625,0.3994138587499999,-0.0230390625,12.522171875000002,14.301954,4.577995875000001,8.25202611775,4.7690387,0.33948915,0.5939868749999999,0.6504756624999999,5.235460875,0.020409025,0.3359675,2.1340163750000003,6.897081462500001,17.914745374999995,12.512403225000002,3.02137175,0.9101541,2.9069209500000004,32.0063205,10.544196875,2.3956466875,13.953664125,67.70972985,9.9750921875,21.331147750000003,4.80387328125,-0.6121691666666668,-1.0732445658333332,0.6942841666666667,0.4728808833333333,2.6184899999999995,-0.6622449835,0.1975849,-0.2155301766666667,-0.1718394558333333,9.335216933333331,0.9468611783333332,2.315633716666667,1.06075358,3.4352258,2.33528912,1.40513668,5.561089399999999,-0.06121602,-3.000158854545455,1.7872474727272731,2.346320618181818,3.623577727272728,8.43895181818182,3.241528936363636,-13.304947272727274,2.2584578090909093,10.001773554545451,5.136886818181818,3.9610919090909102,5.56619690909091,13.546497,6.090914305882352,-0.2451799764705882,0.4609589294117646,2.042274129411765,-0.0409676555555555,0.9476729666666664,1.2912181744444444,0.8702401045555556,1.60811088,1.982230375555556,-1.0281416454545456,1.8411778992727272,2.593715071772728,12.082566363636364,1.5442879818181816,0.7993505499999999,-0.5646816531818182,-0.7586218159545456,14.078094736363637,4.400899983333333,11.607557666666665,0.2865176416666667,4.795196807166667,0.1662916333333333,5.6399225,0.4749409166666667,0.78325995,7.544890000000001,5.450249166666667,5.264495833333334,27.466685,0.8496042666666664,0.142501075,0.86972085,0.2475426249999999,-0.02173085,-0.6836703500000001,5.47023875,0.92663372075,1.5673417500000002
1.6380237125000003,1.72820463625,0.3997288,11.311064125,2.252182979625,0.9988057625,1.0731537974999998,1.4329920374999998,0.3732149875,14.256306250000002,15.996920225,4.5466719125,7.4659337375,4.920346772499999,0.2772195375,0.6799442000000001,2.616622675,4.5833036625000005,0.1511226037499999,-0.2387815125,1.5521546375000002,7.0685804125,17.226442662500002,11.031813500000002,3.25527855,0.9476056335,4.9122735875000005,31.511034875,10.1540449,3.0863551999999994,13.628068375,66.1559998875,9.6124633875,20.780951875,4.16094575,-0.5534859166666667,-0.9317652666666666,0.2821186333333332,0.3169034366666667,2.692025716666667,-0.3375087499999999,-0.5446335716666666,-0.1468559333333333,-0.4722134733333332,8.467384833333332,0.0738632,2.940148,0.85254958,3.7418314,2.45278682,1.22448184,5.342674000000001,0.7019971399999999,-3.1933759181818178,2.5435347090909093,1.9379119545454544,3.0742556181818186,7.863130090909092,2.737442663636364,-13.320564545454546,2.5921178372727267,8.999751236363636,5.739327727272727,4.513646818181818,6.038754363636364,13.355682545454547,5.687611647058825,-0.4369090776470588,0.6941710999999999,3.0219010176470587,-0.956903922222222,0.7416841777777778,0.9216022058777776,1.5020027,1.7968105777777776,1.6587124111111111,-0.6498502840909092,1.5845636318181815,2.533294586363636,11.731606990909093,1.218655068181818,0.9029339172727272,-0.539815861818182,-0.7101522418181818,12.979115171818178,4.50768385,11.884578499999998,-0.36811645,4.241192378333333,-0.5291208,6.021934833333333,1.0908214166666668,1.5011493516666663,7.6601253,5.969967333333333,4.908943166666667,27.07358166666667,0.2965844166666665,-0.98775945,0.3393744975,-0.692198075,-0.6655045249999999,0.141659525,4.66343,0.731168075,1.766536825
1.6682875625000002,2.53935255,0.4051166749999999,11.429240375,1.5513373649999995,1.5312754375,1.3340287174999996,0.8226727125,-0.7586518250000002,14.259071875,17.4568635,3.698198,6.4651058375,4.9972982,0.0634872925,0.925360075,3.686808648750001,4.0812374125,0.4722956750000001,-0.726347075,1.1851720824999998,7.115941050000001,17.215301687500002,11.842449825,3.28072795,1.3278524375,5.0638641,30.061141675,10.394751199999998,3.1631231375000004,13.097702537500002,65.56622658750001,9.97821645,20.0686815,4.110528525,-0.6172420166666667,-0.4895018783333333,0.3959114116666666,0.6117756233333335,3.316867183333333,-1.0431352500000002,-0.1640329333333333,0.2026328849999999,-0.0144577833333333,6.342163616666666,0.1277798499999999,3.866938,0.8824005399999999,3.788511600000001,2.49352976,0.9981609399999998,6.01849346,-0.94162194,-3.179137372727273,1.947160663636364,2.432166181818182,3.0267125090909093,8.257966272727273,2.6414572181818183,-13.04928818181818,3.0498809181818176,8.624000727272726,5.459928,3.671591636363636,5.921518636363637,12.90286,6.3249338823529415,-0.3604695664705882,0.7995038723529411,3.2808711999999995,-0.9659856444444446,1.0791366355555558,1.4732709444444447,1.17605345,1.5603244111111112,1.3632711333333332,-1.089408417727273,1.4210616313636364,2.6053381222727285,11.754120045454547,1.5218448309090908,1.1560750822727273,-0.375787109090909,-0.6037625772727272,12.11155808181818,4.639194499999999,12.484775833333336,0.4129458666666665,4.6649615,-0.8717850666666668,5.501893,0.79036403,-0.3590522999999999,7.666386833333334,5.5932885,4.6337616666666674,26.746876666666665,0.17095905,-0.490533125,-0.1054926,-0.3498494,-0.4654269,0.41274095,5.102762,0.838946725,1.92185725
2.0847014125000003,2.8050266250000004,0.19251947625,10.9920960875,0.96564253875,1.44560329875,1.3014408,0.5311634037500002,-0.90844322625,14.55727625,16.58380905,4.17576393,6.08763246625,5.074807075,-0.3631926485,1.521209025,3.2195738500000006,3.947658875,-0.267977875,-0.24410835,0.9136566500000002,7.051927225,16.742618150000002,11.834559375,4.0152956500000005,1.9990165,5.351508088749999,30.949979375,10.5286885,3.212449,13.99557475,64.477030375,9.300370125,20.48637125,3.776417525,-0.4137659,-0.9526152666666666,0.4144637,0.5195536666666666,3.0906738666666667,-1.0129567,-1.1326524333333332,0.1846927666666666,0.1017347636666666,6.496890008333334,-0.0338783566666666,4.1419828333333335,1.296669528,4.045698,2.50301682,2.4029822,5.021592200000001,0.0672568399999999,-2.6385119454545456,2.2186663263636364,2.3540033154545457,2.926650227272728,7.497717909090909,2.875712363636364,-13.81123090909091,2.694137649090909,8.541488727272728,5.397804363636364,4.163961363636364,5.824192363636363,12.833124727272724,6.177323176470589,-0.2221367729411764,0.7178850764705881,3.083460188235294,0.2436117022222222,0.6932913077777777,0.9256218222222224,1.0827561500000005,1.521964773,2.4486522677777782,-0.7279353090909091,1.490112520090909,2.337471746363636,11.336225045454546,1.3815222013636366,1.1223817954545456,-0.4889079159090908,-0.6273333972727273,11.882078695454547,4.434966299999999,12.874905166666666,0.0085965666666666,5.074435,0.2029948949999999,6.8937418333333325,1.6252217666666668,0.3862957000000001,6.668262833333333,5.728913166666668,5.034451166666667,26.65454833333333,-0.0005906499999999,-0.6133976000000001,0.391689465,0.49918885,-1.1363427,-0.0971649249999999,4.66087725,0.9885955,1.21812895
1.2714568,2.1262482250000003,0.15727101,11.578482375000002,1.41690245,1.4757923375000002,1.293343875,0.838529825,0.0344840374999999,14.286351,16.4479218625,3.43741785,5.5513152125000005,5.508906124999999,-0.7089943499999999,0.2852495499999999,2.928608975,5.11025325,0.5698214,0.3782429625,0.9583727000000004,6.3382268125,17.251693,11.794282125,3.9012276,1.6710612375,4.130430023749999,29.597715375,12.9066816625,2.741219375,14.29400125,64.3737417125,9.080156375,20.78762325,4.2843341125,-1.0649189,-0.101101695,0.1083148499999999,0.7872046833333334,3.744547500000001,-0.6319642716666668,-0.0951597,0.557101678,-0.3879358968333333,5.256001466666667,-0.1828965783333333,4.339619233333334,0.96755476,3.5515472000000003,2.75594228,1.91210686,5.6610613,-0.7223031200000001,-2.9453248818181823,1.727939745454545,1.8784041107272729,3.2672393,7.2721716818181825,2.7076304818181818,-13.131316363636364,3.0123085727272727,8.590123,5.192287727272728,4.568671181818183,6.137487545454545,12.868658272727272,5.667505729411765,-0.4782504764705881,0.5673355529411765,2.5919360147058828,-0.2585519144444445,0.5505794399999999,1.4662115,1.3322204465555554,0.9714935999999996,2.012028027777778,-1.082518699090909,1.3447667113636366,2.363834487727273,11.478558136363633,1.2774408227272729,1.3362252432272728,-0.6167001822727273,-0.6413160822727273,11.796469786363634,4.061640133333333,12.010998666666667,-0.447709855,4.37586759,0.3969813166666666,6.574875000000001,1.7186960333333337,0.5079949266666668,7.127774666666666,6.133216666666667,4.482344566666667,26.311451666666667,-0.1716356,-0.57108505,0.596562225,0.2561497,0.192185275,0.2348769575,5.567862,1.424867075,1.221938
1.8327176875,1.6224243958749998,0.4509739749999999,11.158387217500003,0.9643446375,1.418514,1.0984184124999998,0.585001925,0.2858546875,14.05334375,15.411624125,3.722992375,5.942199143750001,5.0765200125,0.3585251124999999,0.4811051499999999,2.4541030625,5.4694616125,0.3431435999999997,-0.1061262499999999,0.9877198000000004,6.48623125,18.4143158375,12.1092209,3.68928868,1.0501402749999995,5.069252162500001,28.4885259625,13.3331914625,2.4678039125000004,13.43792155,63.7415836,9.445142,20.619271625,4.2003397375,-0.5499487033333332,-1.0118231666666666,0.1518890783333332,0.7129126366666667,2.9062602,0.0287539499999999,-0.4405664,0.3756366166666667,-0.1905845166666667,5.074496783333333,-0.1897237333333333,4.175902333333333,1.4598464,3.9317198,2.14954784,2.2923596,4.860380008,-0.4170050799999999,-2.556624890909091,1.658295681818182,1.7650021,3.133755909090909,7.313104545454544,2.923499818181817,-13.623535454545454,3.181314645454545,8.192380545454546,5.366014272727273,4.784139545454545,6.157082909090909,12.472024,5.96818644117647,-0.8355315823529412,0.4827673470588238,2.0960331000000005,0.0232245377777777,0.8351235777777777,1.1309368555555557,1.7266379666666667,1.3667015666666664,1.6656131666666667,-0.774897099090909,1.1053855804545456,2.330919863636363,11.21284318181818,1.720707627272727,1.104395390909091,-0.5837210180909091,-0.4654094009090909,13.269430148181817,4.037488150000001,11.786072666666668,-0.0624960133333333,3.733447713333333,-0.2378092166666667,6.709259833333334,0.8661398666666668,0.90700925,6.670794000000001,6.147982333333334,5.408746249999999,26.04208166666667,-0.6402138333333333,-0.4295351575,0.985796275,0.2628153999999999,-1.160711825,-0.3915906,5.4677940000000005,0.6029586615,1.5580355
1.7156145125,1.58936956125,0.09482099626875,10.619393125,0.8758542675000001,1.0636590125,0.9763988125000002,0.051229415,0.1912854749999999,14.5618115,15.782549875,3.4463016250000003,5.6991509875,5.9632758875,-0.4104462749999998,0.6152814999999999,1.56828645,4.729666374999999,0.1035466249999997,0.3846090499999999,1.1211320112499998,6.4832834,17.916064924999997,11.954409612500005,3.78137345,1.4270391375,4.9492068875,29.215051625,12.74328025,2.3905694375,13.3747895,62.43285035,9.494036125,21.02884775,4.3602809875,-1.5041642333333334,-0.9633950833333332,-0.3326417833333333,0.5414288500000001,2.4310195,0.1034908333333333,-0.4617024,0.3645608,-0.6058689333333332,4.284415366666667,-0.0829488666666666,4.165878666666667,1.8064552,3.9213042,2.33583506,1.79484013,5.141584,-0.66765376,-2.5379971636363634,1.630969163636364,2.289252545454546,3.0841299909090907,6.946610363636363,2.664698727272728,-13.924105272727273,2.822723695454546,7.612815463636365,5.166079090909091,5.221124727272728,5.500799454545454,12.384474545454548,5.708820982941178,-0.2033794941176471,0.1585812941176469,2.021483082352941,-0.1265635811111111,0.7983440888888889,1.4623692555555554,1.7698992344444442,1.4498043333333337,2.4417476777777782,-0.803390340909091,1.3005807136363638,2.521967495454545,11.31373040909091,1.3068200431818182,0.9717600131818184,-0.3882233849999999,-0.8851879590909092,14.024840109090906,3.9557463716666654,11.859235166666666,0.1604240199999999,4.172285266666667,-0.1370325333333333,7.2965895,1.3388064666666668,0.9419394166666666,6.076871,6.197907833333333,5.486114499999999,25.47893333333333,-1.07505465,-0.50701135,0.0607788499999999,1.55817595,0.603632825,0.09786585,6.239086500000001,0.684716425,1.211291075
1.8566314625,2.0207416,-0.6374172762500001,10.269010375,1.5903929625000002,1.2685996375,0.7541832812499999,0.9879393625,0.2238307499999999,14.9150045,15.705677625,3.1955298750000005,5.4201554625,5.527526137500001,-0.21758425,0.9367887,2.1530687375,5.535706625,0.1855450874999997,1.1528170999999998,0.9446041,6.394894249999999,17.5280547875,12.1416748375,4.3039841375000005,1.7709952125000004,4.417938775,28.5459915,11.671275049999998,2.9752622925,12.5534375,60.347875012500005,9.015310875,21.483488625,4.453631037499999,-0.9266455333333332,-0.3305059011666666,-0.37474805,1.1868663666666668,2.654600723333333,-0.8431212166666665,-0.1727423666666666,0.2487812333333333,0.1375894433333333,4.2828754,0.2638955,3.599341666666666,1.812301,3.5702574,2.45013748,1.7884022199999996,4.9974374,-0.2140902979999999,-3.146981054545454,1.7649512990909089,1.7830949272727274,3.947892972727273,6.370653090909091,2.981331763636364,-13.542474454545454,3.022803927272728,7.701209181818183,5.380638545454546,4.558737545454546,5.787281636363636,12.229477181818185,5.804933870588236,-0.3609471647058824,0.1038503529411765,2.7251648882352937,-0.2820358188888889,-0.0350700677777777,1.1921809666666667,1.307793485555556,1.808220611111111,1.940521755555556,-0.6214167586363636,1.336311177272727,2.179633212272728,11.402338727272728,1.146580744090909,0.8164123486363638,-0.4092013404545455,-1.27329175,14.497962892727273,4.079640166666666,12.148476833333334,0.3267850166666666,4.4963093333333335,0.4205785833333333,6.893502000000001,0.9664603083333332,2.153041798333333,6.504253800000001,6.097900666666667,5.502348666666666,24.97493,-1.3280819333333334,-0.61976717145,-0.0877436249999999,0.3831369299999999,-0.57129395,1.26488695,5.253405249999999,0.641993425,1.4060193250000002
1.4425702874999995,1.5942398,0.1268911,9.540555375,0.58239895,1.50195514875,0.2797108375,0.374188725,0.2701016125,13.710615249999998,15.129836,3.1197650249999995,5.35210165,5.153708175000001,-0.16558193,0.2328206249999998,2.3331174,4.981781687499999,0.2848246874999998,0.6955100875,1.149077725,6.45829175,18.0557665,12.0440805,4.37489601625,1.7198331000000002,4.4170268875000005,27.988588875,12.0400862675,3.4636107750000003,12.6171316125,59.1611144875,8.3766715,20.48693125,4.2118206250000005,-0.4657914933333333,-1.1307864683333333,-0.0430299066666666,0.97967215,2.9387969,-0.212850175,-0.8539088166666667,0.4547406,0.1193883133333333,2.959637533333334,0.0415403888333333,3.486459833333333,1.15531592,3.9841998,2.45086692,1.9404453,4.4055222,-0.0922928599999999,-3.027704027272728,1.673967717272727,2.357163763636364,3.3571324545454546,6.534773272727273,2.6870568,-13.965760909090909,2.9720269272727267,8.060266454545454,5.665498,4.657589000000001,6.263186272727274,11.717720636363635,6.389202705882352,-0.4155596588235295,-0.1997023529411763,2.277832017647059,-0.6201924177777778,0.2801885355555555,0.5729256888888888,1.7098188444444444,1.319727221111111,1.489909922222222,-0.3914831072727272,1.1561068055,2.1691459080000004,12.067331545454543,1.6687331551818183,0.6774344518181818,-0.3023006772727274,-1.1651639136363636,14.699168786363636,3.657329283333333,10.513564833333334,0.0646643783333333,4.453227583333333,-0.94363445,7.239372,1.8738946,2.832515133333333,5.082982583333334,6.0367085000000005,6.281259,24.614746666666665,-1.501323416666667,0.6382796575,1.042531275,-0.401819325,1.0796613,1.414748925,6.08313175,0.47609715,0.58687625
