BLA-Insc-5_C01,BLA-Insc-5_C02,BLA-Insc-5_C03,BLA-Insc-7_C01,BLA-Insc-7_C02,BLA-Insc-7_C03,BLA-Insc-7_C04,BLA-Insc-7_C05,BLA-Insc-7_C06
4.519526241666668,4.097843808333334,5.963226133333333,-0.5203918750000001,-1.769721575,-2.1341595,-0.260346625,-0.806554883,1.1254250775
4.584203833333334,3.400787610416667,5.7346693250874985,0.949507175,-1.422819375,-2.117445,-0.038686675,-1.939350375,1.0546025925
4.42899692625,3.8095613708333342,6.005261537500001,0.70143455,-0.7491435750000001,-1.51839075,-0.4051161749999999,-0.5068060000000001,0.9880747075
4.198429971666666,3.656739025,5.679547124999999,0.165591525,-0.865169775,-2.4575655,0.140844125,-1.399213475,0.9255806475
4.1723842583333335,3.9232746,5.514055525000001,-0.007676925,-1.6367503,-2.19455985,-1.24275665,-1.014049375,0.866875885
4.170215558333334,3.860270358333333,5.400918087499999,-0.0760654,-1.6373444500000005,-3.0064315,-1.364467925,-1.473276075,0.81173074
4.012066000000001,3.417813352916667,5.354562567500001,0.0300847499999999,-1.1325027,-1.8074085225,-1.14589265,0.86925345,1.11770159
3.718284087500001,3.999065025,5.28573246166667,0.0792867499999999,-0.8176100249999999,-2.27610495,-0.3511840975,1.306630375,1.229393335
4.071448637499999,3.8034237041666654,5.575355775833333,0.3749678000000001,-1.3831199500000002,-2.912895,0.4516312325,2.014080125,1.9254263225
4.094897108333334,3.947051416666666,5.5828202125,1.342037125,-0.189704,-2.17670425,-0.932457125,1.931295425,1.8060772975
4.1264562416666655,3.710141791666668,5.710020508333332,1.057801675,-0.3874999499999999,-1.5313656665,-0.536551525,1.146058375,2.468185715
3.684609454166667,3.473896625,5.795543415833333,0.4706402,-1.28798085,-1.763489825,-0.985818725,1.464279875,2.413399995
3.768606365125001,3.639006252916667,5.626451687499999,0.258075025,-1.185336575,-2.50530675,0.0952680125,0.923359225,2.6619686375
3.774647425,3.6788016083333335,5.760060775,0.60261699,-0.972691075,-2.17881575,-0.4289086749999999,1.857537525,2.4980968475
3.945192508333335,3.6995419750000007,6.321335029166668,0.302664125,-0.378473725,-2.55230055,-0.422569775,2.3025714,2.40342849
3.882988604166666,3.604883745833333,6.1269455375,0.538827425,-0.2292034749999999,-2.02528435,-0.488642725,0.6798501249999999,2.25525587
4.249023129166666,3.602025704166667,6.131587575458334,0.93975475,-0.3427690499999999,-1.852475425,-1.2853821,1.42222635,3.15857466
3.785526804166666,3.7189767483333327,5.7682167125,0.2593710999999999,-2.01429,-2.5423715,-0.832926175,0.9150919,2.9645968575
4.002863412499999,4.081774458333333,5.4960315500000005,-0.0698002825,-1.3082676000000002,-3.0094295,-1.03496455,0.90116427,2.7823738925
3.666958305833333,3.500342620833333,5.359467716666665,-0.1148390424999999,-0.955493075,-2.054269825,-1.0937391,0.9976139750000002,2.611193535
4.272727199999999,3.839670200000001,5.532932866666665,0.332818375,-0.706119975,-0.301177075,-0.441115225,0.92074525,2.450386835
3.876722387500001,3.754576075000001,5.368029189583332,1.411847,-0.4570525975,-1.787257625,0.520854375,1.45806793,2.2993245175
4.261912120833333,3.910247379166667,5.653906490416666,0.8376086250000001,-0.40180525,-2.325551,0.148462825,0.335606195,2.1574162325
4.464869454166666,4.120884133333334,5.833442191666669,0.451438575,-1.862647,-2.6659905,-0.184549875,1.2369637,2.024107105
4.287880325,3.8013992375,5.825609508333333,0.429596075,-0.8305502499999999,-2.734445225,-0.2462549499999999,1.6814545,2.0641441575
