trial_num,Block,Trial Type,Reward Size,Trial Possible (s),Start Time (s),Choice Time (s),Collection Time (s),Shock Ocurred,Omission,Win or Loss,Learning Stratergy
49,2.0,Free,Large,1.0,838.743,841.12,842.352,True,,Loss,Win Stay
50,2.0,Free,Large,1.0,853.553,856.185,857.073,False,,Win,
51,2.0,Free,Large,1.0,866.998,869.045,870.053,False,,Win,Win Stay
52,2.0,Free,Large,1.0,879.4169999999999,881.3639999999999,882.316,False,,Win,Win Stay
53,2.0,Free,Large,1.0,891.836,893.627,895.203,True,,Loss,Win Stay
54,2.0,Free,Large,1.0,903.74,911.679,912.615,False,,Win,
55,2.0,Free,Large,1.0,923.426,925.387,926.352,False,,Win,Win Stay
56,2.0,Free,Small,1.0,935.426,948.122,950.5160000000001,False,,,
57,2.0,Free,Large,1.0,958.918,960.574,962.238,True,,Loss,
58,2.0,Free,Small,1.0,971.7439999999999,977.643,978.5980000000001,False,,,Lose Shift
59,2.0,Free,Large,1.0,986.5980000000001,989.3910000000001,990.444,True,,Loss,
60,2.0,Free,,1.0,998.7610000000001,1028.761,,False,Omission,,Lose Omit
61,2.0,Free,Small,1.0,1037.42,1059.525,1062.677,False,,,
62,2.0,Free,Small,1.0,1071.588,1079.423,1081.89,False,,,
63,3.0,Forced,Small,1.0,1095.338,1106.264,1111.8210000000001,False,,,
64,3.0,Forced,Small,1.0,1120.963,1125.661,1126.776,False,,,
65,3.0,Forced,,,1141.678,1179.678,,False,ITI,,
66,3.0,Forced,Large,1.0,1179.678,1208.262,1210.201,True,,,
67,3.0,Forced,,,1218.264,1238.937,,False,ITI,,
68,3.0,Forced,Large,1.0,1238.937,1241.329,1242.585,True,,,
69,3.0,Forced,Small,1.0,1251.0819999999999,1257.643,1263.934,False,,,
70,3.0,Forced,,,1278.399,1311.817,,False,ITI,,
71,3.0,Forced,Large,1.0,1313.06,1326.9779999999998,1327.8,False,,,
72,3.0,Forced,Large,1.0,1340.076,1353.7679999999998,1355.904,True,,,
73,3.0,Forced,,,1365.595,1403.595,,False,ITI,,
74,3.0,Forced,Small,1.0,1404.6960000000001,1418.989,1420.8529999999998,False,,,
75,3.0,Free,Small,1.0,1443.99,1454.13,1468.671,False,,,
76,3.0,Free,Small,1.0,1479.3239999999998,1491.265,1492.4170000000001,False,,,
77,3.0,Free,Small,1.0,1501.2579999999998,1512.8829999999998,1514.026,False,,,
78,3.0,Free,Small,1.0,1522.445,1530.26,1536.955,False,,,
79,3.0,Free,Small,1.0,1548.6960000000001,1557.5439999999999,1563.8429999999998,False,,,
80,3.0,Free,Small,1.0,1579.2779999999998,1584.2779999999998,1588.596,False,,,
81,3.0,Free,Small,1.0,1600.092,1614.733,1616.364,False,,,
82,3.0,Free,Small,1.0,1626.9779999999998,1632.5970000000002,1635.156,False,,,
83,3.0,Free,Small,1.0,1646.3010000000002,1652.8629999999998,1654.836,False,,,
84,3.0,Free,Small,1.0,1663.8529999999998,1672.14,1673.766,False,,,
85,3.0,Free,Small,1.0,1682.09,1686.1760000000002,1688.144,False,,,
86,3.0,Free,Small,1.0,1702.685,1714.08,1716.0710000000001,False,,,
87,3.0,Free,Large,1.0,1727.0529999999999,1729.961,1730.895,False,,Win,
88,3.0,Free,Small,1.0,1739.851,1744.6989999999998,1747.477,False,,,
89,3.0,Free,Small,1.0,1756.9779999999998,1760.876,1762.183,False,,,
90,3.0,Free,Small,1.0,1773.162,1777.9370000000001,1782.6170000000002,False,,,
91,3.0,Free,Large,1.0,1792.734,1796.326,1797.3670000000002,True,,Loss,
92,3.0,Free,Large,1.0,1806.101,1808.905,1810.95,True,,Loss,
93,3.0,Free,Large,1.0,1822.365,1828.195,1829.441,True,,Loss,
94,3.0,Free,Small,1.0,1837.7179999999998,1845.97,1848.601,False,,,Lose Shift
95,3.0,Free,Small,1.0,1859.96,1878.079,1879.942,False,,,
96,3.0,Free,,1.0,1888.006,1918.006,,False,Omission,,
97,3.0,Free,Small,1.0,1926.006,1928.6689999999999,1929.609,False,,,
