trial_num,Block,Trial Type,Reward Size,Trial Possible (s),Start Time (s),Choice Time (s),Collection Time (s),Shock Ocurred,Omission,Win or Loss,Learning Stratergy
38,2.0,Forced,Large,1.0,578.53,588.454,589.845,True,,,
39,2.0,Free,Large,1.0,599.052,607.842,608.885,False,,Win,
40,2.0,Free,,1.0,624.164,654.164,,False,Omission,,
41,2.0,Free,Small,1.0,663.516,673.265,679.314,False,,,
42,2.0,Free,Small,1.0,694.631,715.831,719.992,False,,,
43,2.0,Free,Large,1.0,729.072,732.148,733.134,False,,Win,
44,2.0,Free,Large,1.0,743.828,748.739,749.924,True,,Loss,Win Stay
45,2.0,Free,Large,1.0,759.222,763.435,764.45,False,,Win,
46,2.0,Free,Large,1.0,787.955,792.946,797.133,False,,Win,Win Stay
47,2.0,Free,Large,1.0,811.777,815.712,816.612,False,,Win,Win Stay
48,2.0,Free,Large,1.0,824.884,828.219,829.623,False,,Win,Win Stay
49,2.0,Free,Large,1.0,838.743,841.12,842.352,True,,Loss,Win Stay
50,2.0,Free,Large,1.0,853.553,856.185,857.073,False,,Win,
51,2.0,Free,Large,1.0,866.998,869.045,870.053,False,,Win,Win Stay
52,2.0,Free,Large,1.0,879.417,881.364,882.316,False,,Win,Win Stay
53,2.0,Free,Large,1.0,891.836,893.627,895.203,True,,Loss,Win Stay
54,2.0,Free,Large,1.0,903.74,911.679,912.615,False,,Win,
55,2.0,Free,Large,1.0,923.426,925.387,926.352,False,,Win,Win Stay
56,2.0,Free,Small,1.0,935.426,948.122,950.516,False,,,
57,2.0,Free,Large,1.0,958.918,960.574,962.238,True,,Loss,
58,2.0,Free,Small,1.0,971.744,977.643,978.598,False,,,Lose Shift
59,2.0,Free,Large,1.0,986.598,989.391,990.444,True,,Loss,
60,2.0,Free,,1.0,998.761,1028.761,,False,Omission,,Lose Omit
61,2.0,Free,Small,1.0,1037.42,1059.525,1062.677,False,,,
62,2.0,Free,Small,1.0,1071.588,1079.423,1081.89,False,,,
63,3.0,Forced,Small,1.0,1095.338,1106.264,1111.821,False,,,
64,3.0,Forced,Small,1.0,1120.963,1125.661,1126.776,False,,,
65,3.0,Forced,,,1141.678,1179.678,,False,ITI,,
66,3.0,Forced,Large,1.0,1179.678,1208.262,1210.201,True,,,
67,3.0,Forced,,,1218.264,1238.937,,False,ITI,,
68,3.0,Forced,Large,1.0,1238.937,1241.329,1242.585,True,,,
69,3.0,Forced,Small,1.0,1251.082,1257.643,1263.934,False,,,
70,3.0,Forced,,,1278.399,1311.817,,False,ITI,,
71,3.0,Forced,Large,1.0,1313.06,1326.978,1327.8,False,,,
72,3.0,Forced,Large,1.0,1340.076,1353.768,1355.904,True,,,
73,3.0,Forced,,,1365.595,1403.595,,False,ITI,,
74,3.0,Forced,Small,1.0,1404.696,1418.989,1420.853,False,,,
75,3.0,Free,Small,1.0,1443.99,1454.13,1468.671,False,,,
76,3.0,Free,Small,1.0,1479.324,1491.265,1492.417,False,,,
77,3.0,Free,Small,1.0,1501.258,1512.883,1514.026,False,,,
78,3.0,Free,Small,1.0,1522.445,1530.26,1536.955,False,,,
79,3.0,Free,Small,1.0,1548.696,1557.544,1563.843,False,,,
80,3.0,Free,Small,1.0,1579.278,1584.278,1588.596,False,,,
81,3.0,Free,Small,1.0,1600.092,1614.733,1616.364,False,,,
82,3.0,Free,Small,1.0,1626.978,1632.597,1635.156,False,,,
83,3.0,Free,Small,1.0,1646.301,1652.863,1654.836,False,,,
84,3.0,Free,Small,1.0,1663.853,1672.14,1673.766,False,,,
85,3.0,Free,Small,1.0,1682.09,1686.176,1688.144,False,,,
86,3.0,Free,Small,1.0,1702.685,1714.08,1716.071,False,,,
87,3.0,Free,Large,1.0,1727.053,1729.961,1730.895,False,,Win,
88,3.0,Free,Small,1.0,1739.851,1744.699,1747.477,False,,,
89,3.0,Free,Small,1.0,1756.978,1760.876,1762.183,False,,,
90,3.0,Free,Small,1.0,1773.162,1777.937,1782.617,False,,,
91,3.0,Free,Large,1.0,1792.734,1796.326,1797.367,True,,Loss,
92,3.0,Free,Large,1.0,1806.101,1808.905,1810.95,True,,Loss,
93,3.0,Free,Large,1.0,1822.365,1828.195,1829.441,True,,Loss,
94,3.0,Free,Small,1.0,1837.718,1845.97,1848.601,False,,,Lose Shift
95,3.0,Free,Small,1.0,1859.96,1878.079,1879.942,False,,,
96,3.0,Free,,1.0,1888.006,1918.006,,False,Omission,,
97,3.0,Free,Small,1.0,1926.006,1928.669,1929.609,False,,,
