cell_name,mannwhitneyu_Shock_Ocurred_Choice_Time_s_True_99_minus10_to_minus5_0_to_3,mannwhitneyu_Shock_Ocurred_Choice_Time_s_False_99_minus10_to_minus5_0_to_3,mannwhitneyu_Block_Choice_Time_s_1dot0_99_minus10_to_minus5_minus3_to_0,mannwhitneyu_Block_Choice_Time_s_2dot0_99_minus10_to_minus5_minus3_to_0,mannwhitneyu_Block_Choice_Time_s_3dot0_99_minus10_to_minus5_minus3_to_0,mannwhitneyu_Reward_Size_Choice_Time_s_Large_99_minus10_to_minus5_0_to_3,mannwhitneyu_Reward_Size_Choice_Time_s_Small_99_minus10_to_minus5_0_to_3
6_C02,+,Neutral,+,Neutral,-,Neutral,Neutral
6_C03,-,+,Neutral,+,Neutral,Neutral,Neutral
6_C04,+,Neutral,Neutral,Neutral,+,+,+
6_C05,Neutral,Neutral,-,Neutral,-,Neutral,Neutral
6_C06,+,Neutral,Neutral,-,+,+,-
6_C07,-,Neutral,+,Neutral,-,Neutral,-
6_C08,Neutral,+,Neutral,+,Neutral,+,Neutral
6_C09,Neutral,Neutral,+,Neutral,Neutral,Neutral,Neutral
6_C10,Neutral,-,+,Neutral,Neutral,-,-
6_C11,Neutral,Neutral,+,+,Neutral,-,Neutral
6_C12,-,-,-,-,-,-,-
6_C13,Neutral,-,-,Neutral,Neutral,Neutral,-
6_C14,-,Neutral,-,-,-,Neutral,+
6_C15,+,Neutral,-,-,Neutral,Neutral,-
6_C16,Neutral,-,Neutral,+,Neutral,-,Neutral
6_C17,-,-,-,-,-,-,-
6_C18,-,-,-,Neutral,-,-,Neutral
6_C19,+,-,-,-,+,+,Neutral
7_C01,-,-,-,-,Neutral,-,-
7_C02,-,-,-,-,-,-,+
7_C03,+,-,Neutral,-,Neutral,+,Neutral
7_C04,Neutral,Neutral,+,+,-,Neutral,-
7_C05,+,-,Neutral,+,-,+,Neutral
11_C01,-,+,+,-,+,+,+
11_C02,+,Neutral,Neutral,+,-,+,-
11_C03,Neutral,+,+,Neutral,+,Neutral,+
11_C04,Neutral,+,Neutral,Neutral,Neutral,+,+
11_C05,Neutral,+,Neutral,Neutral,Neutral,Neutral,Neutral
11_C06,Neutral,Neutral,+,Neutral,Neutral,Neutral,Neutral
11_C07,Neutral,+,Neutral,Neutral,Neutral,+,+
13_C01,-,-,-,-,-,-,-
13_C02,-,-,Neutral,Neutral,Neutral,-,Neutral
13_C03,Neutral,+,-,Neutral,+,+,Neutral
13_C04,-,-,-,-,-,-,-
13_C05,+,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
13_C06,-,-,-,Neutral,-,-,-
13_C07,-,+,+,+,+,+,+
13_C08,-,Neutral,-,-,-,-,-
13_C09,-,+,+,Neutral,-,+,+
8_C01,-,Neutral,+,+,Neutral,-,Neutral
8_C02,-,Neutral,Neutral,Neutral,Neutral,-,Neutral
8_C03,-,-,Neutral,-,Neutral,Neutral,-
8_C04,Neutral,Neutral,Neutral,Neutral,+,Neutral,-
8_C05,Neutral,+,+,Neutral,Neutral,+,Neutral
8_C06,+,-,-,Neutral,Neutral,+,-
8_C07,Neutral,-,Neutral,Neutral,Neutral,-,-
8_C08,-,-,+,+,-,-,-
8_C09,+,Neutral,+,+,-,Neutral,Neutral
8_C10,-,-,+,Neutral,+,-,Neutral
8_C11,-,-,+,+,Neutral,-,-
8_C12,-,-,-,Neutral,+,-,Neutral
9_C01,Neutral,Neutral,+,Neutral,-,Neutral,+
9_C02,+,Neutral,-,Neutral,-,Neutral,Neutral
9_C03,Neutral,Neutral,+,+,Neutral,Neutral,Neutral
9_C04,Neutral,Neutral,Neutral,Neutral,-,Neutral,Neutral
9_C05,-,+,+,Neutral,Neutral,-,+
9_C06,-,Neutral,+,-,-,-,+
9_C07,Neutral,+,Neutral,+,+,Neutral,+
9_C08,-,Neutral,+,+,-,-,-
9_C09,+,+,+,+,+,+,+
9_C10,-,-,Neutral,-,-,-,-
